Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
Comunitat Valenciana,Industria,Sueldos y salarios,2021,
Comunitat Valenciana,Industria,Sueldos y salarios,2020,
Comunitat Valenciana,Industria,Sueldos y salarios,2019,
Comunitat Valenciana,Industria,Sueldos y salarios,2018,
Comunitat Valenciana,Construcción,Sueldos y salarios,2023,
Comunitat Valenciana,Construcción,Sueldos y salarios,2022,
Comunitat Valenciana,Construcción,Sueldos y salarios,2021,
Comunitat Valenciana,Construcción,Sueldos y salarios,2020,
Comunitat Valenciana,Construcción,Sueldos y salarios,2019,
Comunitat Valenciana,Construcción,Sueldos y salarios,2018,
Comunitat Valenciana,Servicios,Sueldos y salarios,2023,
Comunitat Valenciana,Servicios,Sueldos y salarios,2022,
Comunitat Valenciana,Servicios,Sueldos y salarios,2021,
Comunitat Valenciana,Servicios,Sueldos y salarios,2020,
Comunitat Valenciana,Servicios,Sueldos y salarios,2019,
Comunitat Valenciana,Servicios,Sueldos y salarios,2018,
Extremadura,Industria,Sueldos y salarios,2023,
Extremadura,Industria,Sueldos y salarios,2022,
Extremadura,Industria,Sueldos y salarios,2021,
Extremadura,Industria,Sueldos y salarios,2020,
Extremadura,Industria,Sueldos y salarios,2019,
Extremadura,Industria,Sueldos y salarios,2018,
Extremadura,Construcción,Sueldos y salarios,2023,
Extremadura,Construcción,Sueldos y salarios,2022,
Extremadura,Construcción,Sueldos y salarios,2021,
Extremadura,Construcción,Sueldos y salarios,2020,
Extremadura,Construcción,Sueldos y salarios,2019,
Extremadura,Construcción,Sueldos y salarios,2018,
Extremadura,Servicios,Sueldos y salarios,2023,
Extremadura,Servicios,Sueldos y salarios,2022,
Extremadura,Servicios,Sueldos y salarios,2021,
Extremadura,Servicios,Sueldos y salarios,2020,
Extremadura,Servicios,Sueldos y salarios,2019,
Extremadura,Servicios,Sueldos y salarios,2018,
Galicia,Industria,Sueldos y salarios,2023,
Galicia,Industria,Sueldos y salarios,2022,
Galicia,Industria,Sueldos y salarios,2021,
Galicia,Industria,Sueldos y salarios,2020,
Galicia,Industria,Sueldos y salarios,2019,
Galicia,Industria,Sueldos y salarios,2018,
Galicia,Construcción,Sueldos y salarios,2023,
Galicia,Construcción,Sueldos y salarios,2022,
Galicia,Construcción,Sueldos y salarios,2021,
Galicia,Construcción,Sueldos y salarios,2020,
Galicia,Construcción,Sueldos y salarios,2019,
Galicia,Construcción,Sueldos y salarios,2018,
Galicia,Servicios,Sueldos y salarios,2023,
Galicia,Servicios,Sueldos y salarios,2022,
Galicia,Servicios,Sueldos y salarios,2021,
Galicia,Servicios,Sueldos y salarios,2020,
Galicia,Servicios,Sueldos y salarios,2019,
Galicia,Servicios,Sueldos y salarios,2018,
"Madrid, Comunidad de",Industria,Sueldos y salarios,2023,
"Madrid, Comunidad de",Industria,Sueldos y salarios,2022,
"Madrid, Comunidad de",Industria,Sueldos y salarios,2021,
"Madrid, Comunidad de",Industria,Sueldos y salarios,2020,
"Madrid, Comunidad de",Industria,Sueldos y salarios,2019,
"Madrid, Comunidad de",Industria,Sueldos y salarios,2018,
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2023,
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2022,
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2021,
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2020,
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2019,
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2018,
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2023,
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2022,
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2021,
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2020,
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2019,
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2018,
"Murcia, Región de",Industria,Sueldos y salarios,2023,
"Murcia, Región de",Industria,Sueldos y salarios,2022,
"Murcia, Región de",Industria,Sueldos y salarios,2021,
"Murcia, Región de",Industria,Sueldos y salarios,2020,
"Murcia, Región de",Industria,Sueldos y salarios,2019,
"Murcia, Región de",Industria,Sueldos y salarios,2018,
"Murcia, Región de",Construcción,Sueldos y salarios,2023,
"Murcia, Región de",Construcción,Sueldos y salarios,2022,
"Murcia, Región de",Construcción,Sueldos y salarios,2021,
"Murcia, Región de",Construcción,Sueldos y salarios,2020,
"Murcia, Región de",Construcción,Sueldos y salarios,2019,
"Murcia, Región de",Construcción,Sueldos y salarios,2018,
"Murcia, Región de",Servicios,Sueldos y salarios,2023,
"Murcia, Región de",Servicios,Sueldos y salarios,2022,
"Murcia, Región de",Servicios,Sueldos y salarios,2021,
"Murcia, Región de",Servicios,Sueldos y salarios,2020,
"Murcia, Región de",Servicios,Sueldos y salarios,2019,
"Murcia, Región de",Servicios,Sueldos y salarios,2018,
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2023,
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2022,
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2021,
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2020,
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2019,
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2018,
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2023,
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2022,
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2021,
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2020,
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2019,
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2018,
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2023,
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2022,
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2021,
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2020,
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2019,
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2018,
País Vasco,Industria,Sueldos y salarios,2023,
País Vasco,Industria,Sueldos y salarios,2022,
País Vasco,Industria,Sueldos y salarios,2021,
