Periodo,Comunidad autónoma,AÑO,Trimestre,Inactivos,Ocupados,Parados,Total Actividad
2019T1,"17 Rioja, La",2019,T1,105800.0,138300.0,17300.0,261400.0
2019T1,18 Ceuta,2019,T1,27100.0,29800.0,8900.0,65800.0
2019T1,19 Melilla,2019,T1,24000.0,29000.0,9800.0,62800.0
2019T2,01 Andalucía,2019,T2,2990600.0,3135900.0,835500.0,6962000.0
2019T2,02 Aragón,2019,T2,449800.0,586700.0,65099.99999999999,1101600.0
2019T2,"03 Asturias, Principado de",2019,T2,441700.0,384700.0,63500.0,889900.0
2019T2,"04 Balears, Illes",2019,T2,341900.0,578700.0,79900.0,1000500.0
2019T2,05 Canarias,2019,T2,752700.0,899700.0,239200.0,1891600.0
2019T2,06 Cantabria,2019,T2,224700.0,244500.0,24200.0,493400.0
2019T2,07 Castilla y León,2019,T2,923700.0,989600.0,131900.0,2045200.0
2019T2,08 Castilla - La Mancha,2019,T2,701000.0,820500.0,161200.0,1682700.0
2019T2,09 Cataluña,2019,T2,2412600.0,3431200.0,431300.0,6275100.0
2019T2,10 Comunitat Valenciana,2019,T2,1733500.0,2086300.0000000002,348000.0,4167800.0
2019T2,11 Extremadura,2019,T2,398500.0,394900.0,101600.0,895000.0
2019T2,12 Galicia,2019,T2,1095200.0,1098800.0,140400.0,2334400.0
2019T2,"13 Madrid, Comunidad de",2019,T2,2043100.0,3093100.0,364600.0,5500800.0
2019T2,"14 Murcia, Región de",2019,T2,497100.0,622100.0,95900.0,1215100.0
2019T2,"15 Navarra, Comunidad Foral de",2019,T2,218300.0,293700.0,24100.0,536100.0
2019T2,16 País Vasco,2019,T2,797400.0,945200.0,89300.0,1831900.0
2019T2,"17 Rioja, La",2019,T2,104200.0,142300.0,15600.0,262100.0
2019T2,18 Ceuta,2019,T2,28000.0,28000.0,9600.0,65600.0
2019T2,19 Melilla,2019,T2,23700.0,29200.0,9900.0,62800.0
2019T3,01 Andalucía,2019,T3,3010100.0,3100900.0,865800.0,6976800.0
2019T3,02 Aragón,2019,T3,445000.0,595100.0,63900.0,1104000.0
2019T3,"03 Asturias, Principado de",2019,T3,438100.0,386100.0,65099.99999999999,889300.0
2019T3,"04 Balears, Illes",2019,T3,332200.0,619700.0,55200.0,1007100.0
2019T3,05 Canarias,2019,T3,769800.0,891200.0,239600.0,1900600.0
2019T3,06 Cantabria,2019,T3,221400.0,248800.0,23800.0,494000.0
2019T3,07 Castilla y León,2019,T3,912700.0,1005000.0,126500.0,2044200.0
2019T3,08 Castilla - La Mancha,2019,T3,701000.0,826100.0,158500.0,1685600.0
2019T3,09 Cataluña,2019,T3,2409500.0,3462400.0,422100.0,6294000.0
2019T3,10 Comunitat Valenciana,2019,T3,1738200.0,2102900.0,339700.0,4180800.0
2019T3,11 Extremadura,2019,T3,395500.0,400800.0,98200.0,894500.0
2019T3,12 Galicia,2019,T3,1086700.0,1105700.0,143500.0,2335900.0
2019T3,"13 Madrid, Comunidad de",2019,T3,2082100.0,3096200.0,354100.0,5532400.0
2019T3,"14 Murcia, Región de",2019,T3,498700.0,618100.0,102000.0,1218800.0
2019T3,"15 Navarra, Comunidad Foral de",2019,T3,221100.0,290400.0,25900.0,537400.0
2019T3,16 País Vasco,2019,T3,810400.0,930000.0,94900.0,1835300.0
2019T3,"17 Rioja, La",2019,T3,107500.0,141300.0,14000.0,262800.0
2019T3,18 Ceuta,2019,T3,26000.0,27900.0,11700.0,65600.0
2019T3,19 Melilla,2019,T3,27300.0,25600.0,10000.0,62900.0
2019T4,01 Andalucía,2019,T4,3032400.0,3136000.0,823900.0,6992300.0
2019T4,02 Aragón,2019,T4,450400.0,591200.0,65200.0,1106800.0
2019T4,"03 Asturias, Principado de",2019,T4,437600.0,392000.0,59300.0,888900.0
2019T4,"04 Balears, Illes",2019,T4,381800.0,570100.0,62700.0,1014600.0
2019T4,05 Canarias,2019,T4,751200.0,940300.0,217400.0,1908900.0
2019T4,06 Cantabria,2019,T4,218800.0,244700.0,30800.0,494300.0
2019T4,07 Castilla y León,2019,T4,912800.0,1003900.0,126600.0,2043300.0
2019T4,08 Castilla - La Mancha,2019,T4,699500.0,824200.0,163600.0,1687300.0
