Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
09 Cataluña,Servicios,Gastos en transporte,2022,5.4
09 Cataluña,Servicios,Gastos en transporte,2021,3.67
09 Cataluña,Servicios,Gastos en transporte,2020,2.93
09 Cataluña,Servicios,Gastos en transporte,2019,3.52
09 Cataluña,Servicios,Gastos en transporte,2018,3.69
10 Comunitat Valenciana,Industria,Gastos en transporte,2023,17.59
10 Comunitat Valenciana,Industria,Gastos en transporte,2022,16.12
10 Comunitat Valenciana,Industria,Gastos en transporte,2021,12.79
10 Comunitat Valenciana,Industria,Gastos en transporte,2020,15.87
10 Comunitat Valenciana,Industria,Gastos en transporte,2019,17.39
10 Comunitat Valenciana,Industria,Gastos en transporte,2018,17.06
10 Comunitat Valenciana,Construcción,Gastos en transporte,2023,79.77
10 Comunitat Valenciana,Construcción,Gastos en transporte,2022,6.3
10 Comunitat Valenciana,Construcción,Gastos en transporte,2021,19.8
10 Comunitat Valenciana,Construcción,Gastos en transporte,2020,4.98
10 Comunitat Valenciana,Construcción,Gastos en transporte,2019,35.26
10 Comunitat Valenciana,Construcción,Gastos en transporte,2018,24.98
10 Comunitat Valenciana,Servicios,Gastos en transporte,2023,1.37
10 Comunitat Valenciana,Servicios,Gastos en transporte,2022,1.25
10 Comunitat Valenciana,Servicios,Gastos en transporte,2021,1.5
10 Comunitat Valenciana,Servicios,Gastos en transporte,2020,2.45
10 Comunitat Valenciana,Servicios,Gastos en transporte,2019,2.27
10 Comunitat Valenciana,Servicios,Gastos en transporte,2018,2.18
11 Extremadura,Industria,Gastos en transporte,2023,10.3
11 Extremadura,Industria,Gastos en transporte,2022,2.58
11 Extremadura,Industria,Gastos en transporte,2021,2.31
11 Extremadura,Industria,Gastos en transporte,2020,4.05
11 Extremadura,Industria,Gastos en transporte,2019,4.72
11 Extremadura,Industria,Gastos en transporte,2018,3.09
11 Extremadura,Construcción,Gastos en transporte,2023,43.25
11 Extremadura,Construcción,Gastos en transporte,2022,30.08
11 Extremadura,Construcción,Gastos en transporte,2021,28.12
11 Extremadura,Construcción,Gastos en transporte,2020,46.94
11 Extremadura,Construcción,Gastos en transporte,2019,45.96
11 Extremadura,Construcción,Gastos en transporte,2018,28.0
11 Extremadura,Servicios,Gastos en transporte,2023,1.08
11 Extremadura,Servicios,Gastos en transporte,2022,0.65
11 Extremadura,Servicios,Gastos en transporte,2021,2.82
11 Extremadura,Servicios,Gastos en transporte,2020,2.03
11 Extremadura,Servicios,Gastos en transporte,2019,3.28
11 Extremadura,Servicios,Gastos en transporte,2018,4.73
12 Galicia,Industria,Gastos en transporte,2023,23.12
12 Galicia,Industria,Gastos en transporte,2022,20.73
12 Galicia,Industria,Gastos en transporte,2021,19.73
12 Galicia,Industria,Gastos en transporte,2020,17.52
12 Galicia,Industria,Gastos en transporte,2019,17.51
12 Galicia,Industria,Gastos en transporte,2018,28.35
12 Galicia,Construcción,Gastos en transporte,2023,11.16
12 Galicia,Construcción,Gastos en transporte,2022,7.37
12 Galicia,Construcción,Gastos en transporte,2021,91.07
12 Galicia,Construcción,Gastos en transporte,2020,78.44
12 Galicia,Construcción,Gastos en transporte,2019,48.18
12 Galicia,Construcción,Gastos en transporte,2018,55.09
12 Galicia,Servicios,Gastos en transporte,2023,3.44
12 Galicia,Servicios,Gastos en transporte,2022,5.17
12 Galicia,Servicios,Gastos en transporte,2021,1.81
12 Galicia,Servicios,Gastos en transporte,2020,2.6
12 Galicia,Servicios,Gastos en transporte,2019,2.8
12 Galicia,Servicios,Gastos en transporte,2018,2.22
"13 Madrid, Comunidad de",Industria,Gastos en transporte,2023,43.25
"13 Madrid, Comunidad de",Industria,Gastos en transporte,2022,40.6
"13 Madrid, Comunidad de",Industria,Gastos en transporte,2021,46.22
"13 Madrid, Comunidad de",Industria,Gastos en transporte,2020,41.85
"13 Madrid, Comunidad de",Industria,Gastos en transporte,2019,41.9
"13 Madrid, Comunidad de",Industria,Gastos en transporte,2018,44.45
"13 Madrid, Comunidad de",Construcción,Gastos en transporte,2023,2.1
"13 Madrid, Comunidad de",Construcción,Gastos en transporte,2022,19.94
"13 Madrid, Comunidad de",Construcción,Gastos en transporte,2021,4.0
"13 Madrid, Comunidad de",Construcción,Gastos en transporte,2020,2.82
"13 Madrid, Comunidad de",Construcción,Gastos en transporte,2019,5.28
"13 Madrid, Comunidad de",Construcción,Gastos en transporte,2018,37.36
"13 Madrid, Comunidad de",Servicios,Gastos en transporte,2023,10.41
"13 Madrid, Comunidad de",Servicios,Gastos en transporte,2022,10.0
"13 Madrid, Comunidad de",Servicios,Gastos en transporte,2021,11.46
"13 Madrid, Comunidad de",Servicios,Gastos en transporte,2020,8.51
"13 Madrid, Comunidad de",Servicios,Gastos en transporte,2019,12.07
"13 Madrid, Comunidad de",Servicios,Gastos en transporte,2018,12.33
"14 Murcia, Región de",Industria,Gastos en transporte,2023,1.66
"14 Murcia, Región de",Industria,Gastos en transporte,2022,1.78
"14 Murcia, Región de",Industria,Gastos en transporte,2021,1.35
"14 Murcia, Región de",Industria,Gastos en transporte,2020,1.63
"14 Murcia, Región de",Industria,Gastos en transporte,2019,3.62
"14 Murcia, Región de",Industria,Gastos en transporte,2018,5.06
"14 Murcia, Región de",Construcción,Gastos en transporte,2023,1.21
"14 Murcia, Región de",Construcción,Gastos en transporte,2022,2.02
"14 Murcia, Región de",Construcción,Gastos en transporte,2021,3.0
"14 Murcia, Región de",Construcción,Gastos en transporte,2020,11.05
"14 Murcia, Región de",Construcción,Gastos en transporte,2019,3.34
"14 Murcia, Región de",Construcción,Gastos en transporte,2018,15.99
"14 Murcia, Región de",Servicios,Gastos en transporte,2023,0.79
"14 Murcia, Región de",Servicios,Gastos en transporte,2022,1.55
"14 Murcia, Región de",Servicios,Gastos en transporte,2021,0.74
"14 Murcia, Región de",Servicios,Gastos en transporte,2020,1.35
"14 Murcia, Región de",Servicios,Gastos en transporte,2019,2.64
"14 Murcia, Región de",Servicios,Gastos en transporte,2018,5.54
"15 Navarra, Comunidad Foral de",Industria,Gastos en transporte,2023,25.64
"15 Navarra, Comunidad Foral de",Industria,Gastos en transporte,2022,47.13
"15 Navarra, Comunidad Foral de",Industria,Gastos en transporte,2021,47.9
"15 Navarra, Comunidad Foral de",Industria,Gastos en transporte,2020,46.32
"15 Navarra, Comunidad Foral de",Industria,Gastos en transporte,2019,21.73
"15 Navarra, Comunidad Foral de",Industria,Gastos en transporte,2018,36.82
"15 Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2023,6.42
"15 Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2022,0.0
