Grupo de edad;Comunidad autonoma;Sexo;Nivel de formacion;periodo;Total
25 - 64 años;Aragon;Mujeres;E. Superior;2023;45,65
25 - 64 años;Aragon;Mujeres;E. Superior;2022;46,07
25 - 64 años;Aragon;Mujeres;E. Superior;2021;44,47
25 - 64 años;Aragon;Mujeres;E. Superior;2020;43,31
25 - 64 años;Aragon;Mujeres;E. Superior;2019;42,32
25 - 64 años;Aragon;Mujeres;E. Superior;2018;40,94
25 - 64 años;Asturias, Principado de;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;34,89
25 - 64 años;Asturias, Principado de;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;35,00
25 - 64 años;Asturias, Principado de;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;32,15
25 - 64 años;Asturias, Principado de;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;33,62
25 - 64 años;Asturias, Principado de;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;36,49
25 - 64 años;Asturias, Principado de;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;35,51
25 - 64 años;Asturias, Principado de;Hombres;2ª etapa E. Secundaria;2023;26,78
25 - 64 años;Asturias, Principado de;Hombres;2ª etapa E. Secundaria;2022;24,61
25 - 64 años;Asturias, Principado de;Hombres;2ª etapa E. Secundaria;2021;25,79
25 - 64 años;Asturias, Principado de;Hombres;2ª etapa E. Secundaria;2020;24,80
25 - 64 años;Asturias, Principado de;Hombres;2ª etapa E. Secundaria;2019;21,81
25 - 64 años;Asturias, Principado de;Hombres;2ª etapa E. Secundaria;2018;23,60
25 - 64 años;Asturias, Principado de;Hombres;E. Superior;2023;38,32
25 - 64 años;Asturias, Principado de;Hombres;E. Superior;2022;40,39
25 - 64 años;Asturias, Principado de;Hombres;E. Superior;2021;42,06
25 - 64 años;Asturias, Principado de;Hombres;E. Superior;2020;41,57
25 - 64 años;Asturias, Principado de;Hombres;E. Superior;2019;41,70
25 - 64 años;Asturias, Principado de;Hombres;E. Superior;2018;40,89
25 - 64 años;Asturias, Principado de;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;26,44
25 - 64 años;Asturias, Principado de;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;29,29
25 - 64 años;Asturias, Principado de;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;29,73
25 - 64 años;Asturias, Principado de;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;28,59
25 - 64 años;Asturias, Principado de;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;29,80
25 - 64 años;Asturias, Principado de;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;30,96
25 - 64 años;Asturias, Principado de;Mujeres;2ª etapa E. Secundaria;2023;24,83
25 - 64 años;Asturias, Principado de;Mujeres;2ª etapa E. Secundaria;2022;24,55
25 - 64 años;Asturias, Principado de;Mujeres;2ª etapa E. Secundaria;2021;23,27
25 - 64 años;Asturias, Principado de;Mujeres;2ª etapa E. Secundaria;2020;24,74
25 - 64 años;Asturias, Principado de;Mujeres;2ª etapa E. Secundaria;2019;25,32
25 - 64 años;Asturias, Principado de;Mujeres;2ª etapa E. Secundaria;2018;23,79
25 - 64 años;Asturias, Principado de;Mujeres;E. Superior;2023;48,73
25 - 64 años;Asturias, Principado de;Mujeres;E. Superior;2022;46,16
25 - 64 años;Asturias, Principado de;Mujeres;E. Superior;2021;47,00
25 - 64 años;Asturias, Principado de;Mujeres;E. Superior;2020;46,66
25 - 64 años;Asturias, Principado de;Mujeres;E. Superior;2019;44,88
25 - 64 años;Asturias, Principado de;Mujeres;E. Superior;2018;45,24
25 - 64 años;Balears, Illes;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;41,18
25 - 64 años;Balears, Illes;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;41,91
25 - 64 años;Balears, Illes;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;39,40
25 - 64 años;Balears, Illes;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;41,81
25 - 64 años;Balears, Illes;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;45,97
25 - 64 años;Balears, Illes;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;46,86
25 - 64 años;Balears, Illes;Hombres;2ª etapa E. Secundaria;2023;29,12
25 - 64 años;Balears, Illes;Hombres;2ª etapa E. Secundaria;2022;28,88
25 - 64 años;Balears, Illes;Hombres;2ª etapa E. Secundaria;2021;28,98
25 - 64 años;Balears, Illes;Hombres;2ª etapa E. Secundaria;2020;26,78
25 - 64 años;Balears, Illes;Hombres;2ª etapa E. Secundaria;2019;26,06
25 - 64 años;Balears, Illes;Hombres;2ª etapa E. Secundaria;2018;27,31
25 - 64 años;Balears, Illes;Hombres;E. Superior;2023;29,70
25 - 64 años;Balears, Illes;Hombres;E. Superior;2022;29,21
