Comunidad autónoma;Relación con la actividad en el trimestre actual;Relación con la actividad en el trimestre anterior;Periodo;Total
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2008T4;7,3
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2008T3;4,9
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2008T2;9
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2008T1;8,6
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2007T4;8,8
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2007T3;6,2
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2007T2;6,2
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2007T1;10
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2006T4;14,1
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2006T3;8,5
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2006T2;12,3
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2006T1;10,1
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2005T4;5,7
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2005T3;12,2
08 Castilla - La Mancha;Total (trimestre actual);No consta (trimestre anterior);2005T2;10
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2024T2;894,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2024T1;872,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2023T4;900,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2023T3;909,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2023T2;900,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2023T1;870,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2022T4;877,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2022T3;872,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2022T2;875
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2022T1;861,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2021T4;872,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2021T3;867,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2021T2;838,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2021T1;813
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2020T4;821,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2020T3;799,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2020T2;771,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2020T1;800,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2019T4;824,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2019T3;826,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2019T2;820,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2019T1;829,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2018T4;830,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2018T3;817,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2018T2;795
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2018T1;777,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2017T4;799,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2017T3;792,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2017T2;766,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2017T1;770,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2016T4;770,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2016T3;756,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2016T2;748,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2016T1;733,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2015T4;741,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2015T3;745,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2015T2;720,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2015T1;707
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2014T4;710,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2014T3;716,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2014T2;716,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2014T1;705,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2013T4;716,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2013T3;721
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2013T2;712,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2013T1;699,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2012T4;710,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2012T3;730,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2012T2;726,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2012T1;744,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2011T4;774,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2011T3;793,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2011T2;787,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2011T1;786,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2010T4;789,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2010T3;797,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2010T2;786,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2010T1;784,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2009T4;804,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2009T3;810,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2009T2;798,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2009T1;810,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2008T4;835,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2008T3;865,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2008T2;873,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2008T1;869,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2007T4;874,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2007T3;882,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2007T2;857,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2007T1;845,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2006T4;831,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2006T3;817,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2006T2;802,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2006T1;789,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2005T4;790,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2005T3;791,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Total (trimestre anterior);2005T2;770,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2024T2;837,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2024T1;833,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2023T4;842,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2023T3;853
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2023T2;831,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2023T1;827,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2022T4;815,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2022T3;813,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2022T2;817,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2022T1;817,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2021T4;808,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2021T3;802
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2021T2;776,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2021T1;771,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2020T4;749,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2020T3;725,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2020T2;735,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2020T1;764,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2019T4;767,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2019T3;760,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2019T2;771,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2019T1;782,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2018T4;766,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2018T3;749,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2018T2;732,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2018T1;733,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2017T4;730,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2017T3;712,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2017T2;717,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2017T1;720
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2016T4;698,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2016T3;683,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2016T2;680,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2016T1;681,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2015T4;668,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2015T3;674,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2015T2;653,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2015T1;659,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2014T4;642
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2014T3;656
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2014T2;658,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2014T1;660,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2013T4;649,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2013T3;648,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2013T2;652,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2013T1;647,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2012T4;655,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2012T3;658,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2012T2;676,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2012T1;695,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2011T4;714,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2011T3;723,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2011T2;729,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2011T1;739,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2010T4;723,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2010T3;726,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2010T2;726,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2010T1;732,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2009T4;732,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2009T3;733,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2009T2;740,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2009T1;762,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2008T4;770,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2008T3;806,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2008T2;818,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2008T1;823,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2007T4;818,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2007T3;808,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2007T2;798,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2007T1;785,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2006T4;770,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2006T3;752,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2006T2;745,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2006T1;738,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2005T4;729,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2005T3;723,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Ocupados (trimestre anterior);2005T2;710,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2024T2;39,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2024T1;19,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2023T4;35,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2023T3;32,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2023T2;44,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2023T1;29,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2022T4;37,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2022T3;32,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2022T2;33,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2022T1;28,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2021T4;39,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2021T3;39
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2021T2;36,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2021T1;28,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2020T4;45,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2020T3;36,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2020T2;21,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2020T1;21,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2019T4;34,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2019T3;38,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2019T2;31,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2019T1;33,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2018T4;43,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2018T3;46,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2018T2;45,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2018T1;34,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2017T4;45,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2017T3;54,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2017T2;36,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2017T1;35,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2016T4;51,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2016T3;51,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2016T2;49,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2016T1;40,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2015T4;53
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2015T3;53,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2015T2;53,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2015T1;36,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2014T4;49,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2014T3;41,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2014T2;48,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2014T1;29,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2013T4;47,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2013T3;55
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2013T2;44,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2013T1;37,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2012T4;32,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2012T3;54,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2012T2;36,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2012T1;34,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2011T4;36,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2011T3;49
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2011T2;37,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2011T1;32,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2010T4;43,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2010T3;50,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2010T2;42,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2010T1;35,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2009T4;43,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2009T3;48,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2009T2;38,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2009T1;27,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2008T4;34,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2008T3;34,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2008T2;29,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2008T1;20,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2007T4;21
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2007T3;29,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2007T2;29,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2007T1;25,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2006T4;28,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2006T3;24,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2006T2;26,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2006T1;27,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2005T4;25,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2005T3;25
08 Castilla - La Mancha;Ocupados (trimestre actual);Parados (trimestre anterior);2005T2;24,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2024T2;17,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2024T1;19,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2023T4;22,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2023T3;24,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2023T2;23,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2023T1;13,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2022T4;24,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2022T3;25,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2022T2;23,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2022T1;15,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2021T4;23,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2021T3;26,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2021T2;25,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2021T1;11,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2020T4;27,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2020T3;37,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2020T2;14,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2020T1;15,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2019T4;22,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2019T3;27,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2019T2;16,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2019T1;13,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2018T4;19,7
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2018T3;22,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2018T2;17,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2018T1;9,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2017T4;23,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2017T3;25,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2017T2;12,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2017T1;15,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2016T4;20,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2016T3;21,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2016T2;17,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2016T1;11,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2015T4;19,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2015T3;18,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2015T2;14,1
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2015T1;11,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2014T4;18,6
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2014T3;18,3
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2014T2;9,4
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2014T1;15,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2013T4;19,2
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2013T3;17,9
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2013T2;14,8
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2013T1;14,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2012T4;21,5
08 Castilla - La Mancha;Ocupados (trimestre actual);Inactivos (trimestre anterior);2012T3;18
