Comunidad autónoma;Relación con la actividad en el trimestre actual;Relación con la actividad en el trimestre anterior;Periodo;Total
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2013T1;17.311,6
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2012T4;17.576,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2012T3;17.711,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2012T2;17.692,4
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2012T1;18.128,6
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2011T4;18.422,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2011T3;18.560,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2011T2;18.429,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2011T1;18.654,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2010T4;18.822,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2010T3;18.788,4
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2010T2;18.632,6
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2010T1;18.916,5
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2009T4;19.112,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2009T3;19.184,1
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2009T2;19.197,1
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2009T1;20.012,5
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2008T4;20.551,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2008T3;20.657,4
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2008T2;20.650,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2008T1;20.755,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2007T4;20.725,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2007T3;20.632,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2007T2;20.366,1
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2007T1;20.243,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2006T4;20.159
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2006T3;19.922,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2006T2;19.558,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2006T1;19.525,5
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2005T4;19.402,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2005T3;19.187,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2005T2;18.800,4
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2024T2;2.924,6
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2024T1;2.875,9
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2023T4;2.844,5
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2023T3;2.775,2
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2023T2;3.089,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2023T1;3.137,1
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2022T4;3.095,6
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2022T3;2.995,7
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2022T2;3.185
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2022T1;3.196,6
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2021T4;3.447,5
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2021T3;3.550,4
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2021T2;3.731,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2021T1;3.745,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2020T4;3.729,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2020T3;3.372
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2020T2;3.200,9
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2020T1;3.310,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2019T4;3.192,7
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2019T3;3.183,5
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2019T2;3.325,1
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2019T1;3.289,8
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2018T4;3.288,7
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2018T3;3.367,7
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2018T2;3.803,8
