Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
"13 Madrid, Comunidad de",Servicios,Sueldos y salarios,2020,
"13 Madrid, Comunidad de",Servicios,Sueldos y salarios,2019,
"13 Madrid, Comunidad de",Servicios,Sueldos y salarios,2018,
"14 Murcia, Región de",Industria,Sueldos y salarios,2023,
"14 Murcia, Región de",Industria,Sueldos y salarios,2022,
"14 Murcia, Región de",Industria,Sueldos y salarios,2021,
"14 Murcia, Región de",Industria,Sueldos y salarios,2020,
"14 Murcia, Región de",Industria,Sueldos y salarios,2019,
"14 Murcia, Región de",Industria,Sueldos y salarios,2018,
"14 Murcia, Región de",Construcción,Sueldos y salarios,2023,
"14 Murcia, Región de",Construcción,Sueldos y salarios,2022,
"14 Murcia, Región de",Construcción,Sueldos y salarios,2021,
"14 Murcia, Región de",Construcción,Sueldos y salarios,2020,
"14 Murcia, Región de",Construcción,Sueldos y salarios,2019,
"14 Murcia, Región de",Construcción,Sueldos y salarios,2018,
"14 Murcia, Región de",Servicios,Sueldos y salarios,2023,
"14 Murcia, Región de",Servicios,Sueldos y salarios,2022,
"14 Murcia, Región de",Servicios,Sueldos y salarios,2021,
"14 Murcia, Región de",Servicios,Sueldos y salarios,2020,
"14 Murcia, Región de",Servicios,Sueldos y salarios,2019,
"14 Murcia, Región de",Servicios,Sueldos y salarios,2018,
"15 Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2023,
"15 Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2022,
"15 Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2021,
"15 Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2020,
"15 Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2019,
"15 Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2018,
"15 Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2023,
"15 Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2022,
"15 Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2021,
"15 Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2020,
"15 Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2019,
"15 Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2018,
"15 Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2023,
"15 Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2022,
"15 Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2021,
"15 Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2020,
"15 Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2019,
"15 Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2018,
16 País Vasco,Industria,Sueldos y salarios,2023,
16 País Vasco,Industria,Sueldos y salarios,2022,
16 País Vasco,Industria,Sueldos y salarios,2021,
16 País Vasco,Industria,Sueldos y salarios,2020,
16 País Vasco,Industria,Sueldos y salarios,2019,
16 País Vasco,Industria,Sueldos y salarios,2018,
16 País Vasco,Construcción,Sueldos y salarios,2023,
16 País Vasco,Construcción,Sueldos y salarios,2022,
16 País Vasco,Construcción,Sueldos y salarios,2021,
16 País Vasco,Construcción,Sueldos y salarios,2020,
16 País Vasco,Construcción,Sueldos y salarios,2019,
16 País Vasco,Construcción,Sueldos y salarios,2018,
16 País Vasco,Servicios,Sueldos y salarios,2023,
16 País Vasco,Servicios,Sueldos y salarios,2022,
16 País Vasco,Servicios,Sueldos y salarios,2021,
16 País Vasco,Servicios,Sueldos y salarios,2020,
16 País Vasco,Servicios,Sueldos y salarios,2019,
16 País Vasco,Servicios,Sueldos y salarios,2018,
"17 Rioja, La",Industria,Sueldos y salarios,2023,
"17 Rioja, La",Industria,Sueldos y salarios,2022,
"17 Rioja, La",Industria,Sueldos y salarios,2021,
"17 Rioja, La",Industria,Sueldos y salarios,2020,
"17 Rioja, La",Industria,Sueldos y salarios,2019,
"17 Rioja, La",Industria,Sueldos y salarios,2018,
"17 Rioja, La",Construcción,Sueldos y salarios,2023,
"17 Rioja, La",Construcción,Sueldos y salarios,2022,
"17 Rioja, La",Construcción,Sueldos y salarios,2021,
"17 Rioja, La",Construcción,Sueldos y salarios,2020,
"17 Rioja, La",Construcción,Sueldos y salarios,2019,
"17 Rioja, La",Construcción,Sueldos y salarios,2018,
"17 Rioja, La",Servicios,Sueldos y salarios,2023,
"17 Rioja, La",Servicios,Sueldos y salarios,2022,
"17 Rioja, La",Servicios,Sueldos y salarios,2021,
"17 Rioja, La",Servicios,Sueldos y salarios,2020,
"17 Rioja, La",Servicios,Sueldos y salarios,2019,
"17 Rioja, La",Servicios,Sueldos y salarios,2018,
