rango edad;comunidad autonoma;sexo;etapa educativa;año;datos
55 - 64 años;Cantabria;AMBOS SEXOS;2ª etapa E. Secundaria;2020;24,14
55 - 64 años;Cantabria;AMBOS SEXOS;2ª etapa E. Secundaria;2019;25,61
55 - 64 años;Cantabria;AMBOS SEXOS;2ª etapa E. Secundaria;2018;27,25

55 - 64 años;Cantabria;AMBOS SEXOS;E. Superior;2023;38,32
55 - 64 años;Cantabria;AMBOS SEXOS;E. Superior;2022;35,51
55 - 64 años;Cantabria;AMBOS SEXOS;E. Superior;2021;32,70
55 - 64 años;Cantabria;AMBOS SEXOS;E. Superior;2020;30,26
55 - 64 años;Cantabria;AMBOS SEXOS;E. Superior;2019;30,23
55 - 64 años;Cantabria;AMBOS SEXOS;E. Superior;2018;28,49

55 - 64 años;Castilla y Leon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;44,48
55 - 64 años;Castilla y Leon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;45,24
55 - 64 años;Castilla y Leon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;47,43
55 - 64 años;Castilla y Leon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;49,54
55 - 64 años;Castilla y Leon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;51,90
55 - 64 años;Castilla y Leon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;53,15

55 - 64 años;Castilla y Leon;AMBOS SEXOS;2ª etapa E. Secundaria;2023;23,40
55 - 64 años;Castilla y Leon;AMBOS SEXOS;2ª etapa E. Secundaria;2022;25,00
55 - 64 años;Castilla y Leon;AMBOS SEXOS;2ª etapa E. Secundaria;2021;24,17
55 - 64 años;Castilla y Leon;AMBOS SEXOS;2ª etapa E. Secundaria;2020;22,98
55 - 64 años;Castilla y Leon;AMBOS SEXOS;2ª etapa E. Secundaria;2019;22,41
55 - 64 años;Castilla y Leon;AMBOS SEXOS;2ª etapa E. Secundaria;2018;21,81

55 - 64 años;Castilla y Leon;AMBOS SEXOS;E. Superior;2023;32,12
55 - 64 años;Castilla y Leon;AMBOS SEXOS;E. Superior;2022;29,76
55 - 64 años;Castilla y Leon;AMBOS SEXOS;E. Superior;2021;28,40
55 - 64 años;Castilla y Leon;AMBOS SEXOS;E. Superior;2020;27,48
55 - 64 años;Castilla y Leon;AMBOS SEXOS;E. Superior;2019;25,69
55 - 64 años;Castilla y Leon;AMBOS SEXOS;E. Superior;2018;25,04

55 - 64 años;Castilla La Mancha;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;57,25
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;60,91
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;59,83
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;62,14
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;65,10
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;65,53

55 - 64 años;Castilla La Mancha;AMBOS SEXOS;2ª etapa E. Secundaria;2023;20,72
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;2ª etapa E. Secundaria;2022;18,96
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;2ª etapa E. Secundaria;2021;19,64
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;2ª etapa E. Secundaria;2020;18,00
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;2ª etapa E. Secundaria;2019;16,97
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;2ª etapa E. Secundaria;2018;17,61

55 - 64 años;Castilla La Mancha;AMBOS SEXOS;E. Superior;2023;22,03
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;E. Superior;2022;20,12
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;E. Superior;2021;20,53
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;E. Superior;2020;19,86
