Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
País Vasco,Servicios,Gastos en transporte,2018,8.22
"Rioja, La",Industria,Gastos en transporte,2023,16.48
"Rioja, La",Industria,Gastos en transporte,2022,16.8
"Rioja, La",Industria,Gastos en transporte,2021,21.71
"Rioja, La",Industria,Gastos en transporte,2020,16.89
"Rioja, La",Industria,Gastos en transporte,2019,30.23
"Rioja, La",Industria,Gastos en transporte,2018,27.63
"Rioja, La",Construcción,Gastos en transporte,2023,11.38
"Rioja, La",Construcción,Gastos en transporte,2022,24.01
"Rioja, La",Construcción,Gastos en transporte,2021,0.03
"Rioja, La",Construcción,Gastos en transporte,2020,9.01
"Rioja, La",Construcción,Gastos en transporte,2019,2.13
"Rioja, La",Construcción,Gastos en transporte,2018,37.0
"Rioja, La",Servicios,Gastos en transporte,2023,7.7
"Rioja, La",Servicios,Gastos en transporte,2022,1.1
"Rioja, La",Servicios,Gastos en transporte,2021,6.09
"Rioja, La",Servicios,Gastos en transporte,2020,7.84
"Rioja, La",Servicios,Gastos en transporte,2019,1.86
"Rioja, La",Servicios,Gastos en transporte,2018,2.48
