Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
Galicia,Industria,Sueldos y salarios,2022,"26.065,77"
Galicia,Industria,Sueldos y salarios,2021,"25.397,50"
Galicia,Industria,Sueldos y salarios,2020,"25.219,85"
Galicia,Industria,Sueldos y salarios,2019,"25.871,64"
Galicia,Industria,Sueldos y salarios,2018,"25.008,11"
Galicia,Construcción,Sueldos y salarios,2023,"24.341,71"
Galicia,Construcción,Sueldos y salarios,2022,"24.351,19"
Galicia,Construcción,Sueldos y salarios,2021,"23.247,30"
Galicia,Construcción,Sueldos y salarios,2020,"21.840,13"
Galicia,Construcción,Sueldos y salarios,2019,"22.525,48"
Galicia,Construcción,Sueldos y salarios,2018,"21.166,90"
Galicia,Servicios,Sueldos y salarios,2023,"22.404,28"
Galicia,Servicios,Sueldos y salarios,2022,"21.715,22"
Galicia,Servicios,Sueldos y salarios,2021,"20.895,01"
Galicia,Servicios,Sueldos y salarios,2020,"19.743,01"
Galicia,Servicios,Sueldos y salarios,2019,"19.917,67"
Galicia,Servicios,Sueldos y salarios,2018,"19.297,13"
"Madrid, Comunidad de",Industria,Sueldos y salarios,2023,"38.956,81"
"Madrid, Comunidad de",Industria,Sueldos y salarios,2022,"37.877,09"
"Madrid, Comunidad de",Industria,Sueldos y salarios,2021,"37.883,80"
"Madrid, Comunidad de",Industria,Sueldos y salarios,2020,"36.292,00"
"Madrid, Comunidad de",Industria,Sueldos y salarios,2019,"36.024,08"
"Madrid, Comunidad de",Industria,Sueldos y salarios,2018,"34.955,36"
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2023,"26.929,62"
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2022,"28.413,22"
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2021,"25.966,55"
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2020,"24.966,09"
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2019,"25.884,80"
"Madrid, Comunidad de",Construcción,Sueldos y salarios,2018,"25.709,84"
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2023,"31.792,60"
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2022,"29.852,67"
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2021,"28.847,08"
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2020,"27.237,78"
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2019,"27.493,75"
"Madrid, Comunidad de",Servicios,Sueldos y salarios,2018,"27.023,90"
"Murcia, Región de",Industria,Sueldos y salarios,2023,"24.779,69"
"Murcia, Región de",Industria,Sueldos y salarios,2022,"24.225,38"
"Murcia, Región de",Industria,Sueldos y salarios,2021,"24.015,05"
"Murcia, Región de",Industria,Sueldos y salarios,2020,"22.828,26"
"Murcia, Región de",Industria,Sueldos y salarios,2019,"23.618,60"
"Murcia, Región de",Industria,Sueldos y salarios,2018,"23.046,09"
"Murcia, Región de",Construcción,Sueldos y salarios,2023,"21.965,11"
"Murcia, Región de",Construcción,Sueldos y salarios,2022,"20.880,28"
"Murcia, Región de",Construcción,Sueldos y salarios,2021,"20.623,32"
"Murcia, Región de",Construcción,Sueldos y salarios,2020,"20.119,11"
"Murcia, Región de",Construcción,Sueldos y salarios,2019,"20.752,37"
"Murcia, Región de",Construcción,Sueldos y salarios,2018,"19.877,43"
"Murcia, Región de",Servicios,Sueldos y salarios,2023,"22.788,84"
"Murcia, Región de",Servicios,Sueldos y salarios,2022,"21.809,82"
"Murcia, Región de",Servicios,Sueldos y salarios,2021,"21.368,14"
"Murcia, Región de",Servicios,Sueldos y salarios,2020,"20.209,94"
"Murcia, Región de",Servicios,Sueldos y salarios,2019,"19.527,20"
"Murcia, Región de",Servicios,Sueldos y salarios,2018,"19.569,73"
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2023,"32.330,71"
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2022,"29.474,17"
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2021,"28.432,85"
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2020,"28.395,93"
